bacterium,promoter,strain,relative,std
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,WT,0.7758747751372526,0.11832968099939119
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,ΔtopA::cat,0.5461558456180516,0.054860224060965516
Escherichia coli K12 MG1655,PleuWT.1min mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",0.9446320404215176,0.04433173313714212
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,WT,0.9870467547667545,0.12253641023242862
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,ΔtopA::cat,0.7801557096204196,0.09914030698440585
Escherichia coli K12 MG1655,PleuWT.1 mhYFP,"ΔlacIZYA::FRT
ΔtopA::cat",0.7445804703913276,0.056255174348766125
Salmonella enterica Typhimurium SL1344,PleuWT.1min mhYFP,WT,1.0505715801822084,0.03982181755284438
Salmonella enterica Typhimurium SL1344,PleuWT.1min mhYFP,"ΔSL1483::
lacIMG1655-FRT
ΔtopA::cat",1.0862981726093108,0.07278577561045442
Salmonella enterica Typhimurium SL1344,PleuWT.1min mhYFP,ΔtopA::cat,1.5210266862986046,0.3314623409164313
Salmonella enterica Typhimurium SL1344,PleuWT.1 mhYFP,WT,1.0,0.06083991212646933
Salmonella enterica Typhimurium SL1344,PleuWT.1 mhYFP,"ΔSL1483::
lacIMG1655-FRT
ΔtopA::cat",1.7233445836610075,0.13825486712791035
Salmonella enterica Typhimurium SL1344,PleuWT.1 mhYFP,ΔtopA::cat,1.3999013705606955,0.28821443696004173
